,circuitId,circuitRef,name,location,country,lat,lng
0,1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968
1,2,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738
2,3,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106
3,4,catalunya,Circuit de Barcelona-Catalunya,MontmelÌ_,Spain,41.57,2.26111
4,5,istanbul,Istanbul Park,Istanbul,Turkey,40.9517,29.405
5,6,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.420560000000001
6,7,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228
7,8,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361
8,9,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
9,10,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583
10,11,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486
11,12,valencia,Valencia Street Circuit,Valencia,Spain,39.4589,-0.331667
12,13,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
13,14,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
14,15,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.86399999999999
15,16,fuji,Fuji Speedway,Oyama,Japan,35.3717,138.92700000000002
16,17,shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22
17,18,interlagos,AutÌ_dromo JosÌ© Carlos Pace,SÌ£o Paulo,Brazil,-23.7036,-46.6997
18,19,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,39.795,-86.2347
19,20,nurburgring,NÌ_rburgring,NÌ_rburg,Germany,50.3356,6.9475
20,21,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167
21,22,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541
22,23,osterreichring,A1-Ring,Spielburg,Austria,47.2197,14.7647
23,24,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031
24,25,galvez,AutÌ_dromo Juan y Oscar GÌÁlvez,Buenos Aires,Argentina,-34.6943,-58.4593
25,26,jerez,Circuito de Jerez,Jerez de la Frontera,Spain,36.7083,-6.03417
26,27,estoril,AutÌ_dromo do Estoril,Estoril,Portugal,38.7506,-9.394169999999999
27,28,okayama,Okayama International Circuit,Okayama,Japan,34.915,134.221
28,29,adelaide,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.61700000000002
29,30,kyalami,Kyalami,Midrand,South Africa,-25.9894,28.0767
30,31,donington,Donington Park,Castle Donington,UK,52.8306,-1.3752799999999998
31,32,rodriguez,AutÌ_dromo Hermanos RodrÌ_guez,Mexico City,Mexico,19.4042,-99.0907
32,33,phoenix,Phoenix street circuit,Phoenix,USA,33.4479,-112.075
33,34,ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167
34,35,yeongam,Korean International Circuit,Yeongam County,Korea,34.7333,126.417
35,36,jacarepagua,AutÌ_dromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,-22.9756,-43.395
36,37,detroit,Detroit Street Circuit,Detroit,USA,42.3298,-83.0401
37,38,brands_hatch,Brands Hatch,Kent,UK,51.3569,0.263056
38,39,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092
39,40,zolder,Zolder,Heusden-Zolder,Belgium,50.9894,5.25694
40,41,dijon,Dijon-Prenois,Dijon,France,47.3625,4.89913
41,42,dallas,Fair Park,Dallas,USA,32.7774,-96.7587
42,43,long_beach,Long Beach,California,USA,33.7651,-118.189
43,44,las_vegas,Las Vegas Street Circuit,Nevada,USA,36.1162,-115.17399999999999
44,45,jarama,Jarama,Madrid,Spain,40.6171,-3.58558
45,46,watkins_glen,Watkins Glen,New York State,USA,42.3369,-76.9272
46,47,anderstorp,Scandinavian Raceway,Anderstorp,Sweden,57.2653,13.6042
47,48,mosport,Mosport International Raceway,Ontario,Canada,44.0481,-78.6756
48,49,montjuic,MontjuÌøc,Barcelona,Spain,41.3664,2.15167
49,50,nivelles,Nivelles-Baulers,Brussels,Belgium,50.6211,4.3269400000000005
50,51,charade,Charade Circuit,Clermont-Ferrand,France,45.7472,3.0388900000000003
51,52,tremblant,Circuit Mont-Tremblant,Quebec,Canada,46.1877,-74.6099
52,53,essarts,Rouen-Les-Essarts,Rouen,France,49.3306,1.00458
53,54,lemans,Le Mans,Le Mans,France,47.95,0.22423099999999999
54,55,reims,Reims-Gueux,Reims,France,49.2542,3.9308300000000003
55,56,george,Prince George Circuit,Eastern Cape Province,South Africa,-33.0486,27.8736
56,57,zeltweg,Zeltweg,Styria,Austria,47.2039,14.7478
57,58,aintree,Aintree,Liverpool,UK,53.4769,-2.94056
58,59,boavista,Circuito da Boavista,Oporto,Portugal,41.1705,-8.67325
59,60,riverside,Riverside International Raceway,California,USA,33.937,-117.273
60,61,avus,AVUS,Berlin,Germany,52.4806,13.2514
61,62,monsanto,Monsanto Park Circuit,Lisbon,Portugal,38.7197,-9.20306
62,63,sebring,Sebring International Raceway,Florida,USA,27.4547,-81.3483
63,64,ain-diab,Ain Diab,Casablanca,Morocco,33.5786,-7.6875
64,65,pescara,Pescara Circuit,Pescara,Italy,42.475,14.1508
65,66,bremgarten,Circuit Bremgarten,Bern,Switzerland,46.9589,7.40194
66,67,pedralbes,Circuit de Pedralbes,Barcelona,Spain,41.3903,2.11667
67,68,buddh,Buddh International Circuit,Uttar Pradesh,India,28.3487,77.5331
68,69,americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411
69,70,red_bull_ring,Red Bull Ring,Spielburg,Austria,47.2197,14.7647
70,71,sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578
71,72,port_imperial,Port Imperial Street Circuit,New Jersey,USA,40.7769,-74.0111
72,73,BAK,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533
